ძ,3061
ი,70036
ნ,34014
უ,28697
თ,35280
ჩ,2714
ჰ,3029
ზ,2369
ღ,5634
ფ,3637
ჵ,19
ს,51855
წ,7135
მ,46570
ო,28231
გ,15037
ჭ,782
კ,6426
პ,1963
ჴ,1835
დ,36672
ე,64239
ვ,18694
ლ,25262
ც,9396
ტ,5198
ა,125983
ყ,8866
ხ,8151
ბ,10239
ჳ,3936
შ,7367
რ,40309
ქ,8027
ჲ,7476
ჟ,417
ჯ,1117
ჱ,248
